FrameID,Action,Mouse_position,execution_time
0000000000,f10,"(1280, 720)",1538255467.8602192
0000000008,LeftDown,"(1190, 745)",1538255468.9597967
0000000008,LeftDown,"(1190, 745)",1538255468.970768
0000000008,LeftDown,"(1190, 745)",1538255468.9817386
0000000008,LeftDown,"(1190, 745)",1538255468.992709
0000000008,LeftDown,"(1191, 745)",1538255469.00368
0000000008,LeftDown,"(1191, 746)",1538255469.0146506
0000000013,LeftDown,"(1042, 406)",1538255469.7815995
0000000013,LeftDown,"(1042, 406)",1538255469.79257
0000000013,LeftDown,"(1042, 406)",1538255469.8035407
0000000013,LeftDown,"(1042, 406)",1538255469.8145118
0000000013,LeftDown,"(1042, 406)",1538255469.825482
0000000018,LeftDown,"(522, 244)",1538255470.5734937
0000000018,LeftDown,"(522, 244)",1538255470.584464
0000000019,LeftDown,"(522, 244)",1538255470.6273491
0000000019,LeftDown,"(522, 244)",1538255470.6712322
0000000019,LeftDown,"(522, 244)",1538255470.6822026
0000000019,LeftDown,"(522, 244)",1538255470.6931734
0000000019,LeftDown,"(522, 244)",1538255470.7041442
0000000019,LeftDown,"(522, 244)",1538255470.715115
0000000019,LeftDown,"(522, 244)",1538255470.7260854
0000000021,LeftDown,"(581, 262)",1538255470.9664426
0000000021,LeftDown,"(581, 262)",1538255470.9774134
0000000021,LeftDown,"(581, 262)",1538255470.988384
0000000021,LeftDown,"(581, 262)",1538255470.999355
0000000021,LeftDown,"(581, 262)",1538255471.0103254
0000000022,LeftDown,"(581, 262)",1538255471.0960958
0000000022,LeftDown,"(581, 262)",1538255471.1070669
0000000022,LeftDown,"(581, 262)",1538255471.1180372
0000000022,LeftDown,"(581, 262)",1538255471.129008
0000000022,LeftDown,"(581, 262)",1538255471.1399784
0000000024,LeftDown,"(669, 246)",1538255471.487075
0000000024,LeftDown,"(669, 246)",1538255471.4980457
0000000025,LeftDown,"(669, 246)",1538255471.5389364
0000000025,LeftDown,"(669, 246)",1538255471.6157315
0000000025,LeftDown,"(669, 246)",1538255471.6267016
0000000025,LeftDown,"(669, 246)",1538255471.6376727
0000000025,LeftDown,"(669, 246)",1538255471.6486437
0000000027,Space,"(1070, 676)",1538255471.8730433
0000000027,Space,"(1136, 691)",1538255471.884014
0000000027,Space,"(1184, 698)",1538255471.8949847
0000000027,Space,"(1232, 703)",1538255471.905955
0000000027,Space,"(1262, 703)",1538255471.9169257
0000000027,Space,"(1290, 702)",1538255471.9278965
0000000027,Space,"(1307, 700)",1538255471.9388669
0000000027,Space,"(1320, 699)",1538255471.949838
0000000028,Space,"(1332, 697)",1538255471.9947188
